Link ID,Start Node ,Start Node Eastings,Start Node Northings,End Node,End Node Eastings,End Node Northings,Region,Road Type
34554-888302,34554,114.1809047,22.30718443,888302,114.1806891,22.30690928,K,URBAN ROAD
34781-36662,34781,114.178139,22.3058505,36662,114.1742465,22.30708198,K,URBAN ROAD
34783-88805,34783,114.1784747,22.30589649,88805,114.1787738,22.30586151,K,URBAN ROAD
34982-36661,34982,114.1674587,22.31031953,36661,114.1742767,22.30712886,K,URBAN ROAD
35071-3488,35071,114.1781389,22.32193117,3488,114.1836599,22.32410258,K,URBAN ROAD
35071-3505,35071,114.1781389,22.32193117,3505,114.1775246,22.32108376,K,URBAN ROAD
36511-46502,36511,114.2315219,22.2996184,46502,114.2124292,22.28970716,K,MAJOR ROUTE
36661-34783,36661,114.1742767,22.30712886,34783,114.1784747,22.30589649,K,URBAN ROAD
36662-3498,36662,114.1742465,22.30708198,3498,114.167185,22.31033191,K,URBAN ROAD
36821-3491,36821,114.1671724,22.31223613,3491,114.167674,22.3093725,K,URBAN ROAD
36821-34982,36821,114.1671724,22.31223613,34982,114.1674587,22.31031953,K,MAJOR ROUTE
46312-46319,46312,114.1804252,22.3021163,46319,114.1805883,22.30020073,K,MAJOR ROUTE
46319-46512,46319,114.1805883,22.30020073,46512,114.1829485,22.28363736,K,MAJOR ROUTE
46322-36511,46322,114.232832,22.30033074,36511,114.2315219,22.2996184,K,MAJOR ROUTE
46332-46522,46332,114.1462491,22.28981344,46522,114.1586993,22.3033707,K,MAJOR ROUTE
46478-46479,46478,114.1800966,22.27184808,46479,114.1795031,22.27344865,HK,MAJOR ROUTE
46479-781,46479,114.1795031,22.27344865,781,114.1799536,22.27525677,HK,MAJOR ROUTE
46488-762,46488,114.1723796,22.27931726,762,114.1745615,22.27953436,HK,MAJOR ROUTE
46495-4649,46495,114.1941505,22.29223338,4649,114.1938696,22.29201882,HK,MAJOR ROUTE
46497-877,46497,114.1936069,22.29177683,877,114.190056,22.28795063,HK,MAJOR ROUTE
46498-4649,46498,114.1935119,22.29188801,4649,114.1937854,22.29214274,HK,MAJOR ROUTE
46499-811,46499,114.1940759,22.29234236,811,114.1961078,22.29312356,HK,MAJOR ROUTE
50018-760,50018,114.1718251,22.2791651,760,114.1704138,22.27927419,HK,MAJOR ROUTE
50019-50018,50019,114.1723711,22.27916871,50018,114.1718251,22.2791651,HK,MAJOR ROUTE
50045-50049,50045,114.1506607,22.28776386,50049,114.1483,22.28836447,HK,MAJOR ROUTE
50048-893,50048,114.1478059,22.28845165,893,114.1426289,22.28976189,HK,MAJOR ROUTE
50049-50048,50049,114.1483,22.28836447,50048,114.1478059,22.28845165,HK,MAJOR ROUTE
